Arithmetic,gsr,2,yesNo,1.0
Cry 7-2,gsr,2,yesNo,0.0
Eating 3,gsr,2,yesNo,0.0
Game 4,gsr,2,yesNo,0.0
Ice Bucket 6,gsr,2,yesNo,0.0
Prepare Speech,gsr,2,yesNo,1.0
Social Conversation 5,gsr,2,yesNo,0.0
Speech,gsr,2,yesNo,1.0
Stroop 2,gsr,2,yesNo,0.0
rest1,gsr,2,yesNo,0.0
rest2,gsr,2,yesNo,0.0
rest3,gsr,2,yesNo,0.0
rest4,gsr,2,yesNo,0.0
rest5,gsr,2,yesNo,0.0
rest6,gsr,2,yesNo,0.0
sing-a-song 1,gsr,2,yesNo,0.0
Arithmetic,gsr,3,yesNo,1.0
Cry 7-2,gsr,3,yesNo,0.0
Eating 3,gsr,3,yesNo,0.0
Game 4,gsr,3,yesNo,0.0
Ice Bucket 6,gsr,3,yesNo,0.0
Prepare Speech,gsr,3,yesNo,1.0
Social Conversation 5,gsr,3,yesNo,0.0
Speech,gsr,3,yesNo,1.0
Stroop 2,gsr,3,yesNo,0.0
rest1,gsr,3,yesNo,0.0
rest2,gsr,3,yesNo,0.0
rest3,gsr,3,yesNo,0.0
rest4,gsr,3,yesNo,0.0
rest5,gsr,3,yesNo,0.0
rest6,gsr,3,yesNo,0.0
sing-a-song 1,gsr,3,yesNo,0.83333333333333326
Arithmetic,gsr,4,yesNo,0.0
Cry 7-2,gsr,4,yesNo,0.0
Eating 3,gsr,4,yesNo,0.0
Game 4,gsr,4,yesNo,0.0
Ice Bucket 6,gsr,4,yesNo,0.0
Prepare Speech,gsr,4,yesNo,0.0
Social Conversation 5,gsr,4,yesNo,0.0
Speech,gsr,4,yesNo,0.0
Stroop 2,gsr,4,yesNo,0.0
rest1,gsr,4,yesNo,0.0
rest2,gsr,4,yesNo,0.0
rest3,gsr,4,yesNo,0.0
rest4,gsr,4,yesNo,0.0
rest5,gsr,4,yesNo,0.0
rest6,gsr,4,yesNo,0.0
sing-a-song 1,gsr,4,yesNo,0.0
Arithmetic,gsr,6,yesNo,0.0
Cry 7-2,gsr,6,yesNo,0.0
Eating 3,gsr,6,yesNo,0.0
Game 4,gsr,6,yesNo,0.0
Ice Bucket 6,gsr,6,yesNo,0.0
Prepare Speech,gsr,6,yesNo,0.0
Social Conversation 5,gsr,6,yesNo,0.0
Speech,gsr,6,yesNo,0.0
Stroop 2,gsr,6,yesNo,0.0
rest1,gsr,6,yesNo,0.0
rest2,gsr,6,yesNo,0.0
rest3,gsr,6,yesNo,0.0
rest4,gsr,6,yesNo,0.0
rest5,gsr,6,yesNo,0.0
rest6,gsr,6,yesNo,0.0
sing-a-song 1,gsr,6,yesNo,0.0
Arithmetic,gsr,7,yesNo,1.0
Cry 7-2,gsr,7,yesNo,0.0
Eating 3,gsr,7,yesNo,0.0
Game 4,gsr,7,yesNo,0.0
Ice Bucket 6,gsr,7,yesNo,0.0
Prepare Speech,gsr,7,yesNo,1.0
Social Conversation 5,gsr,7,yesNo,0.0
Speech,gsr,7,yesNo,1.0
Stroop 2,gsr,7,yesNo,0.0
rest1,gsr,7,yesNo,0.0
rest2,gsr,7,yesNo,0.0
rest3,gsr,7,yesNo,0.0
rest4,gsr,7,yesNo,0.0
rest5,gsr,7,yesNo,0.0
rest6,gsr,7,yesNo,0.0
sing-a-song 1,gsr,7,yesNo,0.0
Arithmetic,gsr,9,yesNo,0.0
Cry 7-2,gsr,9,yesNo,0.0
Eating 3,gsr,9,yesNo,0.0
Game 4,gsr,9,yesNo,0.0
Ice Bucket 6,gsr,9,yesNo,0.0
Prepare Speech,gsr,9,yesNo,0.0
Social Conversation 5,gsr,9,yesNo,0.0
Speech,gsr,9,yesNo,0.0
Stroop 2,gsr,9,yesNo,0.0
rest1,gsr,9,yesNo,0.0
rest2,gsr,9,yesNo,0.0
rest3,gsr,9,yesNo,0.0
rest4,gsr,9,yesNo,0.0
rest5,gsr,9,yesNo,0.0
rest6,gsr,9,yesNo,0.0
sing-a-song 1,gsr,9,yesNo,0.0
Arithmetic,gsr,11,yesNo,1.0
Cry 7-2,gsr,11,yesNo,1.0
Eating 3,gsr,11,yesNo,0.0
Game 4,gsr,11,yesNo,1.0
Ice Bucket 6,gsr,11,yesNo,1.0
Prepare Speech,gsr,11,yesNo,0.7142857142857143
Social Conversation 5,gsr,11,yesNo,0.0
Speech,gsr,11,yesNo,1.0
Stroop 2,gsr,11,yesNo,1.0
rest1,gsr,11,yesNo,0.0
rest2,gsr,11,yesNo,0.0
rest3,gsr,11,yesNo,0.0
rest4,gsr,11,yesNo,0.0
rest5,gsr,11,yesNo,0.0
rest6,gsr,11,yesNo,0.0
sing-a-song 1,gsr,11,yesNo,1.0
Arithmetic,gsr,13,yesNo,1.0
Cry 7-2,gsr,13,yesNo,0.0
Eating 3,gsr,13,yesNo,0.0
Game 4,gsr,13,yesNo,0.0
Ice Bucket 6,gsr,13,yesNo,0.0
Prepare Speech,gsr,13,yesNo,0.87500000000000011
Social Conversation 5,gsr,13,yesNo,0.0
Speech,gsr,13,yesNo,1.0
Stroop 2,gsr,13,yesNo,0.0
rest1,gsr,13,yesNo,0.0
rest2,gsr,13,yesNo,0.57142857142857151
rest3,gsr,13,yesNo,0.0
rest4,gsr,13,yesNo,0.0
rest5,gsr,13,yesNo,0.0
rest6,gsr,13,yesNo,0.0
sing-a-song 1,gsr,13,yesNo,0.0
Arithmetic,gsr,14,yesNo,1.0
Cry 7-2,gsr,14,yesNo,1.0
Eating 3,gsr,14,yesNo,1.0
Game 4,gsr,14,yesNo,1.0
Ice Bucket 6,gsr,14,yesNo,0.0
Prepare Speech,gsr,14,yesNo,0.19999999999999998
Social Conversation 5,gsr,14,yesNo,0.0
Speech,gsr,14,yesNo,1.0
Stroop 2,gsr,14,yesNo,0.0
rest1,gsr,14,yesNo,0.0
rest2,gsr,14,yesNo,1.0
rest3,gsr,14,yesNo,0.0
rest4,gsr,14,yesNo,0.0
rest5,gsr,14,yesNo,0.0
rest6,gsr,14,yesNo,1.0
sing-a-song 1,gsr,14,yesNo,1.0
Arithmetic,gsr,15,yesNo,0.0
Cry 7-2,gsr,15,yesNo,0.5
Eating 3,gsr,15,yesNo,0.0
Game 4,gsr,15,yesNo,0.0
Ice Bucket 6,gsr,15,yesNo,1.0
Prepare Speech,gsr,15,yesNo,0.0
Social Conversation 5,gsr,15,yesNo,0.0
Speech,gsr,15,yesNo,0.0
Stroop 2,gsr,15,yesNo,0.0
rest1,gsr,15,yesNo,0.0
rest2,gsr,15,yesNo,0.0
rest3,gsr,15,yesNo,0.0
rest4,gsr,15,yesNo,0.0
rest5,gsr,15,yesNo,0.0
rest6,gsr,15,yesNo,0.0
sing-a-song 1,gsr,15,yesNo,0.0
Arithmetic,gsr,16,yesNo,1.0
Cry 7-2,gsr,16,yesNo,0.80000000000000004
Eating 3,gsr,16,yesNo,0.0
Game 4,gsr,16,yesNo,0.0
Ice Bucket 6,gsr,16,yesNo,0.0
Prepare Speech,gsr,16,yesNo,0.0
Social Conversation 5,gsr,16,yesNo,0.0
Speech,gsr,16,yesNo,0.94117647058823528
Stroop 2,gsr,16,yesNo,0.0
rest1,gsr,16,yesNo,0.0
rest2,gsr,16,yesNo,0.33333333333333337
rest3,gsr,16,yesNo,0.0
rest4,gsr,16,yesNo,0.0
rest5,gsr,16,yesNo,0.0
rest6,gsr,16,yesNo,0.0
sing-a-song 1,gsr,16,yesNo,0.83333333333333326
Arithmetic,gsr,17,yesNo,0.0
Cry 7-2,gsr,17,yesNo,0.0
Eating 3,gsr,17,yesNo,0.0
Game 4,gsr,17,yesNo,0.0
Ice Bucket 6,gsr,17,yesNo,0.0
Prepare Speech,gsr,17,yesNo,0.0
Social Conversation 5,gsr,17,yesNo,0.0
Speech,gsr,17,yesNo,0.0
Stroop 2,gsr,17,yesNo,0.0
rest1,gsr,17,yesNo,0.0
rest2,gsr,17,yesNo,0.0
rest3,gsr,17,yesNo,0.0
rest4,gsr,17,yesNo,0.0
rest5,gsr,17,yesNo,0.0
rest6,gsr,17,yesNo,0.0
sing-a-song 1,gsr,17,yesNo,0.0
Arithmetic,gsr,2,average,1.0
Cry 7-2,gsr,2,average,0.0
Eating 3,gsr,2,average,0.0
Game 4,gsr,2,average,0.0
Ice Bucket 6,gsr,2,average,0.0
Prepare Speech,gsr,2,average,1.0
Social Conversation 5,gsr,2,average,0.0
Speech,gsr,2,average,1.0
Stroop 2,gsr,2,average,0.0
rest1,gsr,2,average,0.0
rest2,gsr,2,average,0.0
rest3,gsr,2,average,0.0
rest4,gsr,2,average,0.0
rest5,gsr,2,average,0.0
rest6,gsr,2,average,0.0
sing-a-song 1,gsr,2,average,0.0
Arithmetic,gsr,3,average,1.0
Cry 7-2,gsr,3,average,0.0
Eating 3,gsr,3,average,0.0
Game 4,gsr,3,average,0.0
Ice Bucket 6,gsr,3,average,0.0
Prepare Speech,gsr,3,average,1.0
Social Conversation 5,gsr,3,average,0.0
Speech,gsr,3,average,1.0
Stroop 2,gsr,3,average,0.0
rest1,gsr,3,average,0.0
rest2,gsr,3,average,0.0
rest3,gsr,3,average,0.0
rest4,gsr,3,average,0.0
rest5,gsr,3,average,0.0
rest6,gsr,3,average,0.0
sing-a-song 1,gsr,3,average,0.83333333333333326
Arithmetic,gsr,4,average,0.0
Cry 7-2,gsr,4,average,0.0
Eating 3,gsr,4,average,0.0
Game 4,gsr,4,average,0.0
Ice Bucket 6,gsr,4,average,0.0
Prepare Speech,gsr,4,average,0.0
Social Conversation 5,gsr,4,average,0.0
Speech,gsr,4,average,0.0
Stroop 2,gsr,4,average,0.0
rest1,gsr,4,average,0.0
rest2,gsr,4,average,0.0
rest3,gsr,4,average,0.0
rest4,gsr,4,average,0.0
rest5,gsr,4,average,0.0
rest6,gsr,4,average,0.0
sing-a-song 1,gsr,4,average,0.0
Arithmetic,gsr,6,average,0.0
Cry 7-2,gsr,6,average,0.0
Eating 3,gsr,6,average,0.0
Game 4,gsr,6,average,0.0
Ice Bucket 6,gsr,6,average,0.0
Prepare Speech,gsr,6,average,0.0
Social Conversation 5,gsr,6,average,0.0
Speech,gsr,6,average,0.0
Stroop 2,gsr,6,average,0.0
rest1,gsr,6,average,0.0
rest2,gsr,6,average,0.0
rest3,gsr,6,average,0.0
rest4,gsr,6,average,0.0
rest5,gsr,6,average,0.0
rest6,gsr,6,average,0.0
sing-a-song 1,gsr,6,average,0.0
Arithmetic,gsr,7,average,0.0
Cry 7-2,gsr,7,average,0.0
Eating 3,gsr,7,average,0.0
Game 4,gsr,7,average,0.0
Ice Bucket 6,gsr,7,average,0.0
Prepare Speech,gsr,7,average,0.0
Social Conversation 5,gsr,7,average,0.0
Speech,gsr,7,average,0.0
Stroop 2,gsr,7,average,0.0
rest1,gsr,7,average,0.0
rest2,gsr,7,average,0.0
rest3,gsr,7,average,0.0
rest4,gsr,7,average,0.0
rest5,gsr,7,average,0.0
rest6,gsr,7,average,0.0
sing-a-song 1,gsr,7,average,0.0
Arithmetic,gsr,9,average,0.0
Cry 7-2,gsr,9,average,0.0
Eating 3,gsr,9,average,0.0
Game 4,gsr,9,average,0.0
Ice Bucket 6,gsr,9,average,0.0
Prepare Speech,gsr,9,average,0.0
Social Conversation 5,gsr,9,average,0.0
Speech,gsr,9,average,0.0
Stroop 2,gsr,9,average,0.0
rest1,gsr,9,average,0.0
rest2,gsr,9,average,0.0
rest3,gsr,9,average,0.0
rest4,gsr,9,average,0.0
rest5,gsr,9,average,0.0
rest6,gsr,9,average,0.0
sing-a-song 1,gsr,9,average,0.0
Arithmetic,gsr,11,average,0.0
Cry 7-2,gsr,11,average,0.0
Eating 3,gsr,11,average,0.0
Game 4,gsr,11,average,0.0
Ice Bucket 6,gsr,11,average,0.0
Prepare Speech,gsr,11,average,0.0
Social Conversation 5,gsr,11,average,0.0
Speech,gsr,11,average,0.0
Stroop 2,gsr,11,average,0.0
rest1,gsr,11,average,0.0
rest2,gsr,11,average,0.0
rest3,gsr,11,average,0.0
rest4,gsr,11,average,0.0
rest5,gsr,11,average,0.0
rest6,gsr,11,average,0.0
sing-a-song 1,gsr,11,average,0.0
Arithmetic,gsr,13,average,1.0
Cry 7-2,gsr,13,average,0.0
Eating 3,gsr,13,average,0.92307692307692302
Game 4,gsr,13,average,0.0
Ice Bucket 6,gsr,13,average,0.0
Prepare Speech,gsr,13,average,0.94117647058823528
Social Conversation 5,gsr,13,average,0.0
Speech,gsr,13,average,1.0
Stroop 2,gsr,13,average,0.0
rest1,gsr,13,average,0.0
rest2,gsr,13,average,0.0
rest3,gsr,13,average,0.0
rest4,gsr,13,average,0.0
rest5,gsr,13,average,0.0
rest6,gsr,13,average,0.0
sing-a-song 1,gsr,13,average,0.0
Arithmetic,gsr,14,average,0.80000000000000004
Cry 7-2,gsr,14,average,0.80000000000000004
Eating 3,gsr,14,average,0.0
Game 4,gsr,14,average,1.0
Ice Bucket 6,gsr,14,average,0.0
Prepare Speech,gsr,14,average,0.0
Social Conversation 5,gsr,14,average,0.0
Speech,gsr,14,average,0.87500000000000011
Stroop 2,gsr,14,average,0.0
rest1,gsr,14,average,0.0
rest2,gsr,14,average,0.0
rest3,gsr,14,average,0.0
rest4,gsr,14,average,0.0
rest5,gsr,14,average,0.0
rest6,gsr,14,average,0.0
sing-a-song 1,gsr,14,average,0.92307692307692302
Arithmetic,gsr,15,average,0.0
Cry 7-2,gsr,15,average,0.0
Eating 3,gsr,15,average,0.0
Game 4,gsr,15,average,0.0
Ice Bucket 6,gsr,15,average,0.5
Prepare Speech,gsr,15,average,0.0
Social Conversation 5,gsr,15,average,0.0
Speech,gsr,15,average,0.0
Stroop 2,gsr,15,average,0.0
rest1,gsr,15,average,0.0
rest2,gsr,15,average,0.0
rest3,gsr,15,average,0.0
rest4,gsr,15,average,0.0
rest5,gsr,15,average,0.0
rest6,gsr,15,average,0.0
sing-a-song 1,gsr,15,average,0.0
Arithmetic,gsr,16,average,1.0
Cry 7-2,gsr,16,average,1.0
Eating 3,gsr,16,average,0.0
Game 4,gsr,16,average,1.0
Ice Bucket 6,gsr,16,average,0.74999999999999989
Prepare Speech,gsr,16,average,0.19999999999999998
Social Conversation 5,gsr,16,average,0.25
Speech,gsr,16,average,1.0
Stroop 2,gsr,16,average,1.0
rest1,gsr,16,average,0.0
rest2,gsr,16,average,0.0
rest3,gsr,16,average,0.0
rest4,gsr,16,average,0.0
rest5,gsr,16,average,0.0
rest6,gsr,16,average,0.0
sing-a-song 1,gsr,16,average,1.0
Arithmetic,gsr,17,average,0.0
Cry 7-2,gsr,17,average,0.0
Eating 3,gsr,17,average,0.0
Game 4,gsr,17,average,0.0
