Arithmetic,gsr,2,yesNo,1.0
Ice Bucket 6,gsr,17,average,0.0
Prepare Speech,gsr,17,average,0.0
Social Conversation 5,gsr,17,average,0.0
Speech,gsr,17,average,0.0
Stroop 2,gsr,17,average,0.0
rest1,gsr,17,average,0.0
rest2,gsr,17,average,0.0
rest3,gsr,17,average,0.0
rest4,gsr,17,average,0.0
rest5,gsr,17,average,0.0
rest6,gsr,17,average,0.0
sing-a-song 1,gsr,17,average,0.0
Arithmetic,gsr,2,pss,1.0
Cry 7-2,gsr,2,pss,1.0
Eating 3,gsr,2,pss,0.0
Game 4,gsr,2,pss,0.0
Ice Bucket 6,gsr,2,pss,1.0
Prepare Speech,gsr,2,pss,1.0
Social Conversation 5,gsr,2,pss,0.0
Speech,gsr,2,pss,1.0
Stroop 2,gsr,2,pss,0.0
rest1,gsr,2,pss,1.0
rest2,gsr,2,pss,1.0
rest3,gsr,2,pss,0.0
rest4,gsr,2,pss,0.0
rest5,gsr,2,pss,0.0
rest6,gsr,2,pss,0.0
sing-a-song 1,gsr,2,pss,0.0
Arithmetic,gsr,3,pss,0.0
Cry 7-2,gsr,3,pss,0.0
Eating 3,gsr,3,pss,0.0
Game 4,gsr,3,pss,0.0
Ice Bucket 6,gsr,3,pss,0.0
Prepare Speech,gsr,3,pss,0.0
Social Conversation 5,gsr,3,pss,0.0
Speech,gsr,3,pss,0.0
Stroop 2,gsr,3,pss,0.0
rest1,gsr,3,pss,0.0
rest2,gsr,3,pss,0.0
rest3,gsr,3,pss,0.0
rest4,gsr,3,pss,0.0
rest5,gsr,3,pss,0.0
rest6,gsr,3,pss,0.0
sing-a-song 1,gsr,3,pss,0.0
Arithmetic,gsr,4,pss,0.0
Cry 7-2,gsr,4,pss,0.0
Eating 3,gsr,4,pss,0.0
Game 4,gsr,4,pss,0.0
Ice Bucket 6,gsr,4,pss,0.0
Prepare Speech,gsr,4,pss,0.0
Social Conversation 5,gsr,4,pss,0.0
Speech,gsr,4,pss,0.0
Stroop 2,gsr,4,pss,0.0
rest1,gsr,4,pss,0.0
rest2,gsr,4,pss,0.0
rest3,gsr,4,pss,0.0
rest4,gsr,4,pss,0.0
rest5,gsr,4,pss,0.0
rest6,gsr,4,pss,0.0
sing-a-song 1,gsr,4,pss,0.0
Arithmetic,gsr,6,pss,1.0
Cry 7-2,gsr,6,pss,0.0
Eating 3,gsr,6,pss,0.0
Game 4,gsr,6,pss,0.0
Ice Bucket 6,gsr,6,pss,0.0
Prepare Speech,gsr,6,pss,1.0
Social Conversation 5,gsr,6,pss,0.0
Speech,gsr,6,pss,1.0
Stroop 2,gsr,6,pss,0.0
rest1,gsr,6,pss,0.0
rest2,gsr,6,pss,0.0
rest3,gsr,6,pss,0.0
rest4,gsr,6,pss,0.0
rest5,gsr,6,pss,0.0
rest6,gsr,6,pss,0.57142857142857151
sing-a-song 1,gsr,6,pss,0.83333333333333326
Cry 7-2,gsr,7,pss,0.0
Eating 3,gsr,7,pss,0.0
Game 4,gsr,7,pss,0.0
Ice Bucket 6,gsr,7,pss,0.0
Prepare Speech,gsr,7,pss,0.0
Social Conversation 5,gsr,7,pss,0.0
Speech,gsr,7,pss,0.0
Stroop 2,gsr,7,pss,0.0
rest1,gsr,7,pss,0.0
rest2,gsr,7,pss,0.0
rest3,gsr,7,pss,0.0
rest4,gsr,7,pss,0.0
rest5,gsr,7,pss,0.0
rest6,gsr,7,pss,0.0
sing-a-song 1,gsr,7,pss,0.0
Arithmetic,gsr,9,pss,0.0
Cry 7-2,gsr,9,pss,0.0
Eating 3,gsr,9,pss,0.0
Game 4,gsr,9,pss,0.0
Ice Bucket 6,gsr,9,pss,0.0
Prepare Speech,gsr,9,pss,0.0
Social Conversation 5,gsr,9,pss,0.0
Speech,gsr,9,pss,0.0
Stroop 2,gsr,9,pss,0.0
rest1,gsr,9,pss,0.0
rest2,gsr,9,pss,0.0
rest3,gsr,9,pss,0.0
rest4,gsr,9,pss,0.0
rest5,gsr,9,pss,0.0
rest6,gsr,9,pss,0.0
sing-a-song 1,gsr,9,pss,0.0
Arithmetic,gsr,11,pss,0.0
Cry 7-2,gsr,11,pss,0.0
Eating 3,gsr,11,pss,0.0
Game 4,gsr,11,pss,0.0
Ice Bucket 6,gsr,11,pss,0.0
Prepare Speech,gsr,11,pss,0.0
Social Conversation 5,gsr,11,pss,0.0
Speech,gsr,11,pss,0.0
Stroop 2,gsr,11,pss,0.0
rest1,gsr,11,pss,0.0
rest2,gsr,11,pss,0.0
rest3,gsr,11,pss,0.0
rest4,gsr,11,pss,0.0
rest5,gsr,11,pss,0.0
rest6,gsr,11,pss,0.0
sing-a-song 1,gsr,11,pss,0.0
Arithmetic,gsr,13,pss,1.0
Cry 7-2,gsr,13,pss,1.0
Eating 3,gsr,13,pss,1.0
Game 4,gsr,13,pss,1.0
Prepare Speech,gsr,13,pss,1.0
Social Conversation 5,gsr,13,pss,1.0
Speech,gsr,13,pss,1.0
Stroop 2,gsr,13,pss,1.0
rest1,gsr,13,pss,1.0
rest2,gsr,13,pss,1.0
rest3,gsr,13,pss,1.0
rest4,gsr,13,pss,1.0
rest5,gsr,13,pss,1.0
rest6,gsr,13,pss,1.0
sing-a-song 1,gsr,13,pss,1.0
Arithmetic,gsr,14,pss,1.0
Cry 7-2,gsr,14,pss,1.0
Eating 3,gsr,14,pss,1.0
Game 4,gsr,14,pss,1.0
Ice Bucket 6,gsr,14,pss,1.0
Prepare Speech,gsr,14,pss,1.0
Social Conversation 5,gsr,14,pss,1.0
Speech,gsr,14,pss,1.0
Stroop 2,gsr,14,pss,0.0
rest1,gsr,14,pss,1.0
rest2,gsr,14,pss,0.0
rest3,gsr,14,pss,0.0
rest4,gsr,14,pss,0.0
rest5,gsr,14,pss,1.0
rest6,gsr,14,pss,1.0
sing-a-song 1,gsr,14,pss,1.0
Arithmetic,gsr,15,pss,0.0
Cry 7-2,gsr,15,pss,0.0
Eating 3,gsr,15,pss,0.0
Game 4,gsr,15,pss,0.0
Ice Bucket 6,gsr,15,pss,0.5
Prepare Speech,gsr,15,pss,0.0
Social Conversation 5,gsr,15,pss,0.0
Speech,gsr,15,pss,0.0
Stroop 2,gsr,15,pss,0.0
rest1,gsr,15,pss,0.0
rest2,gsr,15,pss,0.0
rest3,gsr,15,pss,0.0
rest4,gsr,15,pss,0.0
rest5,gsr,15,pss,0.0
rest6,gsr,15,pss,0.0
sing-a-song 1,gsr,15,pss,0.0
Arithmetic,gsr,16,pss,1.0
Cry 7-2,gsr,16,pss,0.0
Eating 3,gsr,16,pss,0.0
Game 4,gsr,16,pss,0.92307692307692302
Ice Bucket 6,gsr,16,pss,0.0
Prepare Speech,gsr,16,pss,0.0
Social Conversation 5,gsr,16,pss,0.0
Speech,gsr,16,pss,0.87500000000000011
Stroop 2,gsr,16,pss,0.0
rest1,gsr,16,pss,0.0
rest2,gsr,16,pss,0.0
rest3,gsr,16,pss,0.0
rest4,gsr,16,pss,0.0
rest5,gsr,16,pss,0.0
rest6,gsr,16,pss,0.0
sing-a-song 1,gsr,16,pss,0.83333333333333326
Arithmetic,gsr,17,pss,0.0
Cry 7-2,gsr,17,pss,0.0
Eating 3,gsr,17,pss,0.0
Game 4,gsr,17,pss,0.0
Ice Bucket 6,gsr,17,pss,0.0
Prepare Speech,gsr,17,pss,0.0
Social Conversation 5,gsr,17,pss,0.0
Speech,gsr,17,pss,0.0
Stroop 2,gsr,17,pss,0.0
rest1,gsr,17,pss,0.0
rest2,gsr,17,pss,0.0
rest3,gsr,17,pss,0.0
rest4,gsr,17,pss,0.0
rest5,gsr,17,pss,0.0
rest6,gsr,17,pss,0.0
sing-a-song 1,gsr,17,pss,0.0
Arithmetic,gsr,2,consensus,1.0
Cry 7-2,gsr,2,consensus,0.0
Eating 3,gsr,2,consensus,0.0
Game 4,gsr,2,consensus,0.0
Ice Bucket 6,gsr,2,consensus,0.0
Prepare Speech,gsr,2,consensus,1.0
Social Conversation 5,gsr,2,consensus,0.0
Speech,gsr,2,consensus,1.0
Stroop 2,gsr,2,consensus,0.0
rest1,gsr,2,consensus,0.0
rest2,gsr,2,consensus,0.0
rest3,gsr,2,consensus,0.0
rest4,gsr,2,consensus,0.0
rest5,gsr,2,consensus,0.0
rest6,gsr,2,consensus,0.0
sing-a-song 1,gsr,2,consensus,0.0
Arithmetic,gsr,3,consensus,0.0
Cry 7-2,gsr,3,consensus,0.0
Eating 3,gsr,3,consensus,0.0
Game 4,gsr,3,consensus,0.0
Ice Bucket 6,gsr,3,consensus,0.0
Prepare Speech,gsr,3,consensus,0.0
Social Conversation 5,gsr,3,consensus,0.0
Speech,gsr,3,consensus,0.0
Stroop 2,gsr,3,consensus,0.0
rest1,gsr,3,consensus,0.0
rest2,gsr,3,consensus,0.0
rest3,gsr,3,consensus,0.0
rest4,gsr,3,consensus,0.0
rest5,gsr,3,consensus,0.0
rest6,gsr,3,consensus,0.0
sing-a-song 1,gsr,3,consensus,0.0
Arithmetic,gsr,4,consensus,0.0
Cry 7-2,gsr,4,consensus,0.0
Eating 3,gsr,4,consensus,0.0
Game 4,gsr,4,consensus,0.0
Ice Bucket 6,gsr,4,consensus,0.0
Prepare Speech,gsr,4,consensus,0.0
Social Conversation 5,gsr,4,consensus,0.0
Speech,gsr,4,consensus,0.0
Stroop 2,gsr,4,consensus,0.0
rest1,gsr,4,consensus,0.0
rest2,gsr,4,consensus,0.0
rest3,gsr,4,consensus,0.0
rest4,gsr,4,consensus,0.0
rest5,gsr,4,consensus,0.0
rest6,gsr,4,consensus,0.0
sing-a-song 1,gsr,4,consensus,0.0
Arithmetic,gsr,6,consensus,0.0
Cry 7-2,gsr,6,consensus,0.0
Eating 3,gsr,6,consensus,0.0
Game 4,gsr,6,consensus,0.0
Ice Bucket 6,gsr,6,consensus,0.0
Prepare Speech,gsr,6,consensus,0.0
Social Conversation 5,gsr,6,consensus,0.0
Speech,gsr,6,consensus,0.0
Stroop 2,gsr,6,consensus,0.0
rest1,gsr,6,consensus,0.0
rest2,gsr,6,consensus,0.0
rest3,gsr,6,consensus,0.0
rest4,gsr,6,consensus,0.0
rest5,gsr,6,consensus,0.0
rest6,gsr,6,consensus,0.0
sing-a-song 1,gsr,6,consensus,0.0
Arithmetic,gsr,9,consensus,0.0
Cry 7-2,gsr,9,consensus,0.0
Eating 3,gsr,9,consensus,0.0
Game 4,gsr,9,consensus,0.0
Ice Bucket 6,gsr,9,consensus,0.0
Prepare Speech,gsr,9,consensus,0.0
Social Conversation 5,gsr,9,consensus,0.0
Speech,gsr,9,consensus,0.0
Stroop 2,gsr,9,consensus,0.0
rest1,gsr,9,consensus,0.0
rest2,gsr,9,consensus,0.0
rest3,gsr,9,consensus,0.0
rest4,gsr,9,consensus,0.0
rest5,gsr,9,consensus,0.0
rest6,gsr,9,consensus,0.0
sing-a-song 1,gsr,9,consensus,0.0
Arithmetic,gsr,11,consensus,0.0
Cry 7-2,gsr,11,consensus,0.0
Eating 3,gsr,11,consensus,0.0
Game 4,gsr,11,consensus,0.0
Ice Bucket 6,gsr,11,consensus,0.0
Prepare Speech,gsr,11,consensus,0.0
Social Conversation 5,gsr,11,consensus,0.0
Speech,gsr,11,consensus,0.0
Stroop 2,gsr,11,consensus,0.0
rest1,gsr,11,consensus,0.0
rest2,gsr,11,consensus,0.0
rest3,gsr,11,consensus,0.0
rest4,gsr,11,consensus,0.0
rest5,gsr,11,consensus,0.0
rest6,gsr,11,consensus,0.0
sing-a-song 1,gsr,11,consensus,0.0
Arithmetic,gsr,13,consensus,0.0
Cry 7-2,gsr,13,consensus,0.0
Eating 3,gsr,13,consensus,0.0
Game 4,gsr,13,consensus,0.0
Ice Bucket 6,gsr,13,consensus,0.0
Prepare Speech,gsr,13,consensus,0.0
Social Conversation 5,gsr,13,consensus,0.0
Speech,gsr,13,consensus,0.0
Stroop 2,gsr,13,consensus,0.0
rest1,gsr,13,consensus,0.0
rest2,gsr,13,consensus,0.0
rest3,gsr,13,consensus,0.0
rest4,gsr,13,consensus,0.0
rest5,gsr,13,consensus,0.0
rest6,gsr,13,consensus,0.0
sing-a-song 1,gsr,13,consensus,0.0
Arithmetic,gsr,14,consensus,0.5
Cry 7-2,gsr,14,consensus,0.80000000000000004
Eating 3,gsr,14,consensus,0.0
Game 4,gsr,14,consensus,1.0
Ice Bucket 6,gsr,14,consensus,0.0
Prepare Speech,gsr,14,consensus,0.0
Social Conversation 5,gsr,14,consensus,0.0
Speech,gsr,14,consensus,0.36363636363636359
Stroop 2,gsr,14,consensus,0.0
rest1,gsr,14,consensus,0.0
rest2,gsr,14,consensus,0.0
rest3,gsr,14,consensus,0.0
rest4,gsr,14,consensus,0.0
rest5,gsr,14,consensus,0.0
rest6,gsr,14,consensus,0.0
sing-a-song 1,gsr,14,consensus,0.83333333333333326
Arithmetic,gsr,15,consensus,0.0
Cry 7-2,gsr,15,consensus,0.0
Eating 3,gsr,15,consensus,0.0
Game 4,gsr,15,consensus,0.0
Ice Bucket 6,gsr,15,consensus,0.5
Prepare Speech,gsr,15,consensus,0.0
Social Conversation 5,gsr,15,consensus,0.0
Speech,gsr,15,consensus,0.0
Stroop 2,gsr,15,consensus,0.0
rest1,gsr,15,consensus,0.0
rest2,gsr,15,consensus,0.0
rest3,gsr,15,consensus,0.0
rest4,gsr,15,consensus,0.0
rest5,gsr,15,consensus,0.0
rest6,gsr,15,consensus,0.0
sing-a-song 1,gsr,15,consensus,0.0
Arithmetic,gsr,16,consensus,0.0
Cry 7-2,gsr,16,consensus,0.0
Eating 3,gsr,16,consensus,0.0
Game 4,gsr,16,consensus,0.0
Ice Bucket 6,gsr,16,consensus,0.0
Prepare Speech,gsr,16,consensus,0.0
Social Conversation 5,gsr,16,consensus,0.0
Speech,gsr,16,consensus,0.0
Stroop 2,gsr,16,consensus,0.0
rest1,gsr,16,consensus,0.0
rest2,gsr,16,consensus,0.0
rest3,gsr,16,consensus,0.0
rest4,gsr,16,consensus,0.0
rest5,gsr,16,consensus,0.0
rest6,gsr,16,consensus,0.0
sing-a-song 1,gsr,16,consensus,0.0
Arithmetic,gsr,17,consensus,0.0
Cry 7-2,gsr,17,consensus,0.0
Eating 3,gsr,17,consensus,0.0
Game 4,gsr,17,consensus,0.0
Ice Bucket 6,gsr,17,consensus,0.0
Prepare Speech,gsr,17,consensus,0.0
Social Conversation 5,gsr,17,consensus,0.0
Speech,gsr,17,consensus,0.0
Stroop 2,gsr,17,consensus,0.0
rest1,gsr,17,consensus,0.0
rest2,gsr,17,consensus,0.0
rest3,gsr,17,consensus,0.0
rest4,gsr,17,consensus,0.0
rest5,gsr,17,consensus,0.0
rest6,gsr,17,consensus,0.0
sing-a-song 1,gsr,17,consensus,0.0
